2025-12-19 08:31:20,844 | No config file found in this directory.
2025-12-19 08:31:20,844 | OSError occurred while reading TOML file: [Errno 2] No such file or directory: '/home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/samconfig.toml'
2025-12-19 08:31:20,844 | Config file location: /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/samconfig.toml
2025-12-19 08:31:20,844 | Config file '/home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/samconfig.toml' does not exist
2025-12-19 08:31:20,866 | OSError occurred while reading TOML file: [Errno 2] No such file or directory: '/home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/samconfig.toml'
2025-12-19 08:31:20,866 | Using config file: samconfig.toml, config environment: default
2025-12-19 08:31:20,866 | Expand command line arguments to:
2025-12-19 08:31:20,866 | --template_file=/home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/template.yaml --port=3000 --env_vars=.env --warm_containers=EAGER --host=127.0.0.1 --static_dir=public --layer_cache_basedir=/home/anton/.aws-sam/layers-pkg --container_host=localhost --container_host_interface=127.0.0.1 
2025-12-19 08:31:20,876 | local start-api command is called
2025-12-19 08:31:21,902 | No Parameters detected in the template
2025-12-19 08:31:21,930 | Sam customer defined id is more priority than other IDs. Customer defined id for resource TextAnalysisFunction is TextAnalysisFunction
2025-12-19 08:31:21,930 | There is no customer defined id or cdk path defined for resource ServerlessRestApi, so we will use the resource logical id as the resource id
2025-12-19 08:31:21,931 | 0 stacks found in the template
2025-12-19 08:31:21,931 | No Parameters detected in the template
2025-12-19 08:31:21,950 | Sam customer defined id is more priority than other IDs. Customer defined id for resource TextAnalysisFunction is TextAnalysisFunction
2025-12-19 08:31:21,951 | There is no customer defined id or cdk path defined for resource ServerlessRestApi, so we will use the resource logical id as the resource id
2025-12-19 08:31:21,951 | 2 resources found in the stack 
2025-12-19 08:31:21,951 | Found Serverless function with name='TextAnalysisFunction' and CodeUri='TextAnalysisFunction'
2025-12-19 08:31:21,951 | --base-dir is not presented, adjusting uri TextAnalysisFunction relative to /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/template.yaml
2025-12-19 08:31:21,952 | watch resource /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/template.yaml
2025-12-19 08:31:21,952 | Create Observer for resource /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/template.yaml with recursive True
2025-12-19 08:31:21,952 | watch resource /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/template.yaml's parent /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build
2025-12-19 08:31:21,952 | Create Observer for resource /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build with recursive False
2025-12-19 08:31:21,953 | ContainerClientFactory.create_client() called
2025-12-19 08:31:21,953 | Admin preference: None
2025-12-19 08:31:21,953 | Using auto-detected client creation
2025-12-19 08:31:21,953 | Trying Docker client creation
2025-12-19 08:31:21,953 | Creating Docker container client from environment variable.
2025-12-19 08:31:21,953 | Creating container client with parameters: {'version': '1.35'}
2025-12-19 08:31:21,953 | DockerContainerClient created successfully
2025-12-19 08:31:21,957 | Fall back docker api version to 1.44: 400 Client Error for http+docker://localhost/v1.35/_ping: Bad Request ("client version 1.35 is too old. Minimum supported API version is 1.44, please upgrade your client to a newer version")
2025-12-19 08:31:21,959 | Docker daemon check succeeded with fallback: 400 Client Error for http+docker://localhost/v1.35/_ping: Bad Request ("client version 1.35 is too old. Minimum supported API version is 1.44, please upgrade your client to a newer version")
2025-12-19 08:31:21,959 | Using Docker as Container Engine.
2025-12-19 08:31:21,959 | Set global container socket path: container_socket_path=
2025-12-19 08:31:21,960 | Initializing the lambda functions containers.
2025-12-19 08:31:21,960 | Async execution started
2025-12-19 08:31:21,960 | Invoking function functools.partial(<function InvokeContext._initialize_all_functions_containers.<locals>.initialize_function_container at 0x759284267f60>, Function(function_id='TextAnalysisFunction', name='TextAnalysisFunction', functionname='TextAnalysisFunction', runtime='python3.13', memory=1024, timeout=30, handler='app.lambda_handler', imageuri=None, packagetype='Zip', imageconfig=None, codeuri='/home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/TextAnalysisFunction', environment={'Variables': {'LOG_LEVEL': 'INFO'}}, rolearn=None, layers=[], events={'ApiEvent': {'Type': 'Api', 'Properties': {'Path': '/analyze', 'Method': 'POST', 'RestApiId': 'ServerlessRestApi'}}}, metadata={'SamResourceId': 'TextAnalysisFunction'}, inlinecode=None, codesign_config_arn=None, architectures=['x86_64'], function_url_config=None, function_build_info=<FunctionBuildInfo.BuildableZip: ('BuildableZip', 'Regular ZIP function which can be build with SAM CLI')>, stack_path='', runtime_management_config=None, logging_config={'LogFormat': 'JSON'}, tenancy_config=None, durable_config=None, capacity_provider_config=None, publish_to_latest_published=None))
2025-12-19 08:31:21,960 | Waiting for async results
2025-12-19 08:31:21,961 | ContainerClientFactory.create_client() called
2025-12-19 08:31:21,961 | Admin preference: None
2025-12-19 08:31:21,961 | Using auto-detected client creation
2025-12-19 08:31:21,961 | Trying Docker client creation
2025-12-19 08:31:21,961 | Creating Docker container client from environment variable.
2025-12-19 08:31:21,962 | Creating container client with parameters: {'version': '1.35'}
2025-12-19 08:31:21,962 | DockerContainerClient created successfully
2025-12-19 08:31:21,965 | Fall back docker api version to 1.44: 400 Client Error for http+docker://localhost/v1.35/_ping: Bad Request ("client version 1.35 is too old. Minimum supported API version is 1.44, please upgrade your client to a newer version")
2025-12-19 08:31:21,967 | Docker daemon check succeeded with fallback: 400 Client Error for http+docker://localhost/v1.35/_ping: Bad Request ("client version 1.35 is too old. Minimum supported API version is 1.44, please upgrade your client to a newer version")
2025-12-19 08:31:21,967 | Using Docker as Container Engine.
2025-12-19 08:31:21,967 | Set global container socket path: container_socket_path=
2025-12-19 08:31:21,970 | Environment variables data found for specific function in standard format
2025-12-19 08:31:21,970 | Loading AWS credentials from session with profile 'None'
2025-12-19 08:31:21,984 | Resolving code path. Cwd=/home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build, CodeUri=/home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/TextAnalysisFunction
2025-12-19 08:31:21,984 | Resolved absolute path to code is /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/TextAnalysisFunction
2025-12-19 08:31:21,984 | Resolving code path. Cwd=/home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build, CodeUri=/home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/TextAnalysisFunction
2025-12-19 08:31:21,984 | Resolved real code path to /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/TextAnalysisFunction
2025-12-19 08:31:22,538 | watch resource /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/TextAnalysisFunction
2025-12-19 08:31:22,538 | Create Observer for resource /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/TextAnalysisFunction with recursive True
2025-12-19 08:31:22,558 | watch resource /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/TextAnalysisFunction's parent /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build
2025-12-19 08:31:22,565 | Code /home/anton/git/backend-task-2025/text-analysis-service/.aws-sam/build/TextAnalysisFunction is not a zip/jar file
2025-12-19 08:31:22,565 | ContainerClientFactory.create_client() called
2025-12-19 08:31:22,565 | Admin preference: None
2025-12-19 08:31:22,565 | Using auto-detected client creation
2025-12-19 08:31:22,565 | Trying Docker client creation
2025-12-19 08:31:22,565 | Creating Docker container client from environment variable.
2025-12-19 08:31:22,566 | Creating container client with parameters: {'version': '1.35'}
